Article;Sous fam.;ref. four.;Gencod;Frais;Qte cde fou;Qte stock;Cpt ac;Cpt ve M;Cpt ve C;Cpt ve OM;Cpt ve E;Cpt ve CEE;Commentaire;id;sup
ENS. MECA. UVDECHLO300L300 D400L1220 9L;6008;BO40012609;;;;;60101100;70102000;70192200;70192100;70192100;70192200;COMPRIS DANS LE PRIX DE LA CHAMBRE;;
ENS. MECA. UVDECHLO 400;60133;;1234560012541;;;2,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
ENS. MECA. UVDECHLO400L300 D500L1220 13L;6008;BO500122013;;;;;60101100;70102000;70192200;70192100;70192100;70192200;comprend;;
ENS. MECA. GERMI AP60 ACS;60133;;1234560034673;;;18,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
ENS. MECA. GERMI AP60ACS;6008;BOAP60-ONORM;;;;;60101100;70102000;70192200;70192100;70192100;70192200;CORPS AP60 ACS PAR 5 PIECES AU 30/01/14;;
REDUCTEUR DE DEBIT UVSOLAIRE D4;6097;;1234560036165;;;125,00;60101100;70102000;70192200;70192100;70192100;70192200;PRIX POUR 100 PIECES = 0,73€;;
"EMBOUT MALE 2""";6021;00581;1234560001736;;;342,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
POMPE DE CIRCULATION IWAKI CANNELE 1M3/H MD55R5 220V;6021;10-055-5C-220;1234560040384;;;3,00;60101100;70102000;70192200;70192100;70192100;70192200;RACCORDS CANNELES 26 MM;;
ELECTROVANNE DN40+UMA3,5-24V;6021;5100AC040022064;1234560034741;;;3,00;60101100;70102000;70192200;70192100;70192100;70192200;09/11/2020 : ELECTROVANNE PLUS COMMERCIALISE A CE JOUR REMPLACE PAR REFERENCE 20000834.;;
COUDE 90°  PVC DE 63 A COLLER;6021;GIV63;1234560043736;0,040;;24,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
CUVE DE DOSAGE 125 LITRES COUVERCLE A VISSER;6021;DVI0125;1234560035168;;;3,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
CALAGE DE LAMPE POUR AP60 ACS;6097;;1234560010264;;50,00;52,00;60260000;70102000;70192200;70192100;70192100;70192200;en PET noir;;
PLATEFORME CHASSIS GERMI SERRE 8 À12;6008;BO-CHASS-SKID-SER;1234560072316;;;1,00;60101100;70102000;70192200;70192100;70192100;70192200;24/01/20: changement tube carré tube rectangle devis RMA OD704560 882€ au lieu de 699;;
DEFLECTEUR ARMOIRE UVOZ;60106;14000413;1234560035786;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
ADAPTATEUR CLAMP D48.3 BRIDEDN50;6008;BO-REDUC-DN50/48.3;1234560035359;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
EMBOUT MALE INOX 3/4'' 316L;6021;EM20G;1234560001972;;200,00;123,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
PLATINE DE CÂBLAGE NETTOYAGE MOTORISÉ;6097;14000419_C_M10;1234560033867;;;33,00;60101100;70102000;70192200;70192100;70192100;70192200;devis n°14_110129 du 20/11/14;;
GERMI SERRE - SUPPORT ÉLÈCTROVANNE;6008;;1234560034819;;;2,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
BOUCHON FEMELLE 1/2 G 316L;6021;BF15G;1234560002177;;;42,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
GERMI SERRE - SUPPORT POMPE CIRCULATION;6008;;1234560034826;;;2,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
"FERRULE CLAMP 60,3 /2"" 316L";6021;4CCT60;1234560054381;;;10,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
FOND BOMBE 219.1 X 2 316 L;6021;4FB219;1234560053735;;;6,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
GERMI AD300 CLAMP DN24 DIAM 219.10;6008;;1234560041817;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
"CMF 25G - COUDE MF 1"" G316";6021;CMF25G;1234560026715;;;56,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
CAPTEUR UV DIGITAL 5M DE CABLE;60179;611-114;1234560006540;;50,00;11,00;60101100;70102000;70192200;70192100;70192100;70192200;Si besoin d'un cable de 10 noter la référence 16000256;;
"EMBOUT LONG MALE 3/4"" 316L";6021;EML20G;1234560034444;;;44,00;60101100;70102000;70192200;70192100;70192100;70192200;par 100 pcs;;
"CORPS AP11 E/S 3/4"" POUR EAUSUN11";6001;;1234560036875;;;27,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
"ENS.MECA. EAUSUN 11 ET12  AP11 E/S 3/4""";6008;;;;;;60101100;70102000;70192200;70192100;70192100;70192200;devis OD701180;;
"BOUCHON FEMELLE 1 1/4"" 316L";6021;BF32G;1234560236237;;;36,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
BOUCHON  PE FEMM 1 1/4+PRESS ETOUPE;60133;BF114C;1234560010806;;;6,00;60101100;70102000;70192200;70192100;70192100;70192200;BOUCHON + PRESS ETOUPE + MAIN D'OEUVRE 0.60;;
PRESSE ETOUPE  PG 9;6077;BIZ206009;12345600106222;;;1281,00;60101100;70102000;70192200;70192100;70192100;70192200;cintropur;;
COUDE 90° PVC 50 A COLLER;6021;GIV50;1234560041589;;;116,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
COLLET PVC 50 STRIE A COLLER;6021;QRV50;1234560041688;;;2,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
BRIDE LIBRE PVC 50 DN40;6021;ODV50;1234560041695;;;14,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
COLLET PVC D 63;6021;CPB63;1234560028238;0,500;;2,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
BRIDE LIBRE PVC 63;6021;BRP63;1234560020072;0,374;;21,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
REDUCTION SIMPLE MF 63X50;6021;RS6350;1234560011155;;;33,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
LAMPE 60WPLL TYPE TUVPLL60W + BAGUE 9000H;60119;;1234560032600;3,400;;33,00;60101100;70102000;70192200;70192100;70192100;70192200;26/11/19: modification tarif , ajout de 3.4€ pour la bague et le travail dans la case frais!!;;
LAMPE 60WPLL+BAGUE  CENTRAGE JETLY GERMIAP60ACS;60119;CODE JETLY : 937729;37005460049266;3,400;;;60260000;70102000;70192200;70192100;70192100;70192200;26/11/19: modification tarif , ajout de 3.4€ pour la bague et le travail dans la case frais!!;;
JOINT PLAT D50 EPDM POUR BRIDE;6021;JPS40;1234560041725;;;10,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
JOINT PLAT D63 EPDM POUR BRIDE;6021;JP63;1234560058624;;;8,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
JOINT PLAT D75 EPDM POUR BRIDE;6021;JP75;1234560060283;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
COLLET  PVC 75 DN65;6021;QRV75;1234560060160;;;5,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
BRIDE PVC 75 DN65;6021;ODV75;1234560060177;;;5,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
TE EGAL PVC 50;6021;TIV50;1234560041558;;;6,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
COUDE 90° PVC FF DIAMETRE 40;6021;589040;1234560043576;;;14,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
REDUCTION COURTE PVC M/F 50X40;6021;587250;1234560043620;;;12,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
COLLIER DE PRISE EN CHARGE PVC110X11/2;6021;CPC110X11/2;1234560011391;;;24,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
"BOUCHON  PE FEMM 2"" USINE";60133;;1234560060054;;250,00;318,00;60101100;70102000;70192200;70192100;70192100;70192200;BOUCHON USINE;;
"USINAGE BOUCHON  PE FEMM 2""";6008;;;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
DOUILLE 2G11 PR LAMPE PLL;6077;164840;12345600011499;;;755,00;60101100;70102000;70192200;70192100;70192100;70192200;164840;;
SUPPORT MAINTIEN GAINE HD300;60106;;;;;;60260000;70102000;70192200;70192100;70192100;70192200;;;
FOND BOMBÉ DN 300 EPAISSEUR 3MM;6021;4FB3233;1234560059416;;;2,00;60260000;70102000;70192200;70192100;70192100;70192200;19/05/20: passage en epaisseur 3 et changement du code fournisseur de 4FB323 a 4FB3233;;
FLASQUE MOBILE Ø390 DN300;60106;;;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
PLATEAU DE NETTOYAGE HD300;60106;;;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
COLLIER CLIP PP D110 VDL;6021;CLIP110PPVDL;1234560055104;;;184,00;60101100;70102000;70192200;70192100;70192100;70192200;prix net negocié le 27/11/14 par guerric;;
CLAPET A COLLER 32 PVC;6021;CAR32;1234560042852;0,110;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
ELECTROVANNE DN25 +UMAZ3,5 24 V;6021;5100AC025022065;1234560041770;;;6,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
RACCORD UNION 3PCS A COLLER F/F 40;6021;BIV40;1234560060238;;;9,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
CARTER MODULE SOLAIRE FOND;6008;COFFRET SOLAIRE;1234560035403;;;;60101100;70102000;70192200;70192100;70192100;70192200;ATTENTION INDISsOSSIABLE DE LA REFERENCE 14000517 (prix ttal 46.67€);;
CARTER MODULE SOLAIRE FACADE;6008;COFFRETSOLAIRE;1234560036424;;;;60101100;70102000;70192200;70192100;70192100;70192200;ATTENTION INDISOSSIABLE DE LA REFERENCE 14000516 (prix ttal 46.67€);;
JOINT TORIQUE 44X4 FKM;6021;1140074044;1234560031702;;;235,00;60101100;70102000;70192200;70192100;70192100;70192200;haute température;;
RENFORT CHASSIS MODULE UV SOLAIRE;60106;14000526;1234560044979;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
SUPPORT CARTER CHASSIS MODULE UV SOLAIRE;60106;14000527;1234560044955;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
MAT CHASSIS MODULE UV SOLAIRE;60106;14000529;1234560044948;;;;60260000;70102000;70192200;70192100;70192100;70192200;;;
CHASSIS MODULE SOLAIRE EAUSUN;60106;;;;;;60101100;70102000;70192200;70192100;70192100;70192200;assemblage pour chassis EAUSUN;;
PIED LONGITUDINAL CHASSIS MODULE UV SOLAIRE;60106;14000533;1234560044962;;;;60260000;70102000;70192200;70192100;70192100;70192200;;;
PIED TRANSVERSAL CHASSIS UV-SOLAIRE  EAU-SUN;60106;14000534;1234560038985;;;10,00;60260000;70102000;70192200;70192100;70192100;70192200;ATTENTION PRIX UNITAIRE A RENEGOCIER AVANT COMMANDE;;
"FILTRE AG200 2"" 20µM";6021;;1234560043675;45,000;;;60260000;70102000;70192200;70192100;70192100;70192200;Selon devis 3363 decembre 2014;;
"PURGE AUTO INOX 3/4"" INDUS";6021;D553396;1234560011261;4,170;;6,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
CORPS INOX CAPTEUR+JOINT+FENETRE TEFLON;6021;CODE JETLY : 937885;37005460213500;;;52,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
SUPPORT FILTRE HECTRON;6008;14000538;1234560036448;;;4,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
MAINTIEN DE GAINE AP36/60/95 ACS PTFE;6021;8000483495;1234560032860;;;92,00;60101100;70102000;70192200;70192100;70192100;70192200;attention prix par 100pcs;;
CAPOT ETANCHE  CAPTEUR TEFLON + PG9;6001;;1234560034680;;;-1,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
FIBRE 5MM FORMÉE (LONGUEUR 250MM) PMMA;6001;;1234560037919;;;-21,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
CAPUCHON TRANSLUCIDE 5MM;6021;180442-62;1234560034864;;;476,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
GERMI SERRE-SUPPORT POMPE PERISTALTIQUE;6008;14000543;1234560036417;;;6,00;60101100;70102000;70192200;70192100;70192100;70192200;Prix Labrousse 08/18: 47.31;;
ENS. MECA. GERMI AD120ACS AVEC NETT;60133;;1234560038787;;;11,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
ENS. MECA. GERMIAD120-ACS AVEC NETT;6008;;;;;;60101100;70102000;70192200;70192100;70192100;70192200;prix unitaire : 915.8;;
ENS. MECA. GERMIAD200ACS;60133;;1234560045716;;;13,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
ENS. MECA. GERMIAD200 ACS;6008;;;;;;60101100;70102000;70192200;70192100;70192100;70192200;Prix par 10 appareils = 980€;;
ENS. MECA. GERMIBD200-ACS COMPLET;60133;;1234560038770;;;14,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
ENS. MECA. GERMIBD 200 NM CORPS- BIODOSIMETRIE;6008;BD200 NM;;;;;60260000;70102000;70192200;70192100;70192100;70192200;le 24-02-15;;
ENS. MECA. COMPLET GERMICD200-ACS;60133;;1234560046973;;;5,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
ENS. MÉCA. GERMI CD200-ACS;6008;;1234560046188;;;;60260000;70102000;70192200;70192100;70192100;70192200;devis DE16/03010;;
"EMBOUT MALE 1""1/2 G316L INOX Q1";6021;EM40G;1234560225668;;;82,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
CORPS GERMIBP95 CUBIQUE;60133;;1234560037711;;;;60260000;70102000;70192200;70192100;70192100;70192200;CORPS POUR VITABIKE;;
RÉACTEUR CUBIQUE 2LAMPES;6008;BO-BP95_CUB;1234560034048;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
VANNE PVC 50 F/F A COLLER;6021;VXEIV50;1234560041756;;;54,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
VANNE A COLLER PVC40 F/F;6021;540140;1234560069163;;;7,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
RACCORD UNION 3PCS A COLLER F/F D50;6021;BIV50;1234560041633;;;20,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
RACCORD UNION 3PCS A COLLER F/F D50;6021;;1234560072354;;;10,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
COLLIER DE FIXATION DIAM 40;6021;551740;1234560031634;;;137,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
COLLIER CLIP PP VDL PVC50;6021;CLIP50PPVDL;1234560045396;;;153,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
COLLIER CLIP PP D63 VDL;6021;CLIP63PPVDL;1234560044276;0,200;;124,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
"RACCORD UNION 3 PCS A COLLER F D50 / A VISSER 2"" M";6021;BIRV502;1234560041664;;;16,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
"MANCHON POLYPTO F/F DIAM 1""";6021;MF1;1234560012428;;;47,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
"COUDE 90° LAITON M/F D26X34 1""";6021;20922634;1234560058815;;;27,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
TE 90° PVC FFF DIAMETRE 40;6021;583040;1234560046874;;;8,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
REDUCTION SIMPLE PVC D40-32;6021;RS4032;1234560067824;;;61,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
JOINT PLAT D32 EPDM POUR BRIDE;6021;JP32;1234560041732;;;;60260000;70102000;70192200;70192100;70192100;70192200;;;
"COLLIER PRISE CHARGE PVC40X1/2""";6021;CPC4012;1234560035830;;;15,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
"COLLIER DE PRISE EN CHARGE PVC50X1/2""";6021;CPC5012;1234560011414;;;14,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
"MAMELON POLYPROPYLENE M D1/2""";6021;MM12;1234560011520;;;59,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
VANNE BS PR FF 1/2'' 316L;6021;4RBRF15;1234560011582;;;26,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
POMPE PSH DE 30 A 120L 230V NORPRENE;6021;PSH000HM1000;1234560036486;10,000;;11,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
CAISSE BOIS DIM EXT 147X117X158CM 2 ENTREES;0203;;1234560039128;;;;60260000;70102000;70192200;70192100;70192100;70192200;;;
CAISSE BOIS ET CP 140X35X50MM;0203;;1234560022601;;;;60260000;70102000;70192200;70192100;70192100;70192200;;;
VOYANT LED ROUGE AD16-22DS/230V/R;6077;;1234560039340;0,040;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
VOYANT LED BLANC AD16-22DS/230V/W;6077;;1234560039333;0,120;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
CAISSE BOIS 140X60X140 LD600 ARMOIRE;0203;;1234560061754;;;;60101100;70102000;70192200;70192100;70192100;70192200;ATTENTION : ARMOIRE SANS NETTOYAGE;;
ADAPTATEUR AUDIO USB ALU;6077;1406215;;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
CAISSE BOIS 140X70X210 CM D INT;0203;;1234560022243;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
CAISSE BOIS DIM EXT 147X87X227 2 ENTREE;0203;;1234560039104;;;;60260000;70102000;70192200;70192100;70192100;70192200;140 KG;;
CAISSE   DIM EXT :147X87X112 CM;0203;;1234560022021;;;;60101100;70102000;70192200;70192100;70192100;70192200;DIMENSIONS INTERIEURES : 140X80X90 cm poids 90kg;;
CABLE LIYY 4X1.50M LE M;6077;14106044;1234560021666;0,040;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
POCHETTE EXPORT 220X170  Q1000;0203;141857;1234560049523;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
CAISSE  DIM EXT :142X40X54  CP75;0203;;1234560022076;;;;60101100;70102000;70192200;70192100;70192100;70192200;DIMENSIONS INTERIEURES : 135X33X34;;
CAISSE  N°4 DIM EXT :142X40X55 CM;0203;CAISSE N°4;1234560010882;;;;60101100;70102000;70192200;70192100;70192100;70192200;DIMENSIONS INTERIEURES : 135X33X33 CM;;
CAISSE BOIS DIMENSIONS INTÉRIEURES (L X L X H) 143*109*98;0203;;;;;;60101100;70102000;70192200;70192100;70192100;70192200;Pour la fourniture d’une caisse navette bois et OSB, capable de 250 kgs, 2 entrées, patins de manutention, 2 étages de 25 compartiments de;;
SOLUTION ETALON CONDUCTIVITE NACL 491MG/L 1000US/CM 100ML;6015;;1234560057924;;;;60120300;70102000;70192200;70192100;70192100;70192200;;;
COFFRET POLYESTER 400X400X200+PLAQUE KS;60181;1444500;1234560010424;;;1,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
COFFRET POLYESTER 400X600X200+PLAQUE;60181;1446500;1234560010417;;;3,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
COFFRET POLYESTER 500X500X300;60181;1453500;1234560049004;;;-1,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
CAISSE  DIM EXT 152X67X70 CM;0203;;1234560022069;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
CAISSE   DIM EXT :152X92X90 CM;0203;;1234560022038;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
CAISSE  - DIM EXT : 152 X 102 X 105 CM;0203;;1234560022045;;;;60260000;70102000;70192200;70192100;70192100;70192200;;;
COFFRET POLYESTER 600X600X200+PLAQUE KS;60181;1466500;1234560013203;;;6,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
COFFRET POLYESTER 600*800*300;60181;1468500;1234560027484;;;3,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
COFFRET POLYESTER VITREE 600*800*300+PLAQUE;60181;1469500;1234560042814;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
COFFRET POLYESTER 800X1000X300;60181;1480500;1234560027491;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
KS PATTE DE FIXATION MURALE RAL 7035;60181;1483010;1234560010431;;;9,00;60101100;70102000;70192200;70192100;70192100;70192200;passage à l'unité;;
POIGNEE ERGOFORM RAL7035 50*58*225;60181;1490010;1234560040469;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
EMBOUT MALE 1''1/4 POUR APH30;6097;;1234560009855;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
"BOUCHON MALE 1/4"" 316L";6021;BM8G;1234560002139;;100,00;25,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
RACCORD HEXA /CANNELE;6021;AH8G;1234560042166;;;12,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
CONNECTEUR CERAMIQUE POUR LAMPE KF4P;6077;7010042;1234560009602;;3000,00;1176,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
PIED 1M MAXI POUR DECHLO;6008;BOPIEDS;1234560012640;;;79,00;60260000;70102000;70192200;70192100;70192100;70192200;PIEDS 2 M  : 37.26;;
ADAPTATEUR SONDE T° ET EVENT;60133;;1234560036295;;;11,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
ADAPTATEUR SONDE TEMP. ET EVENT DEGAZAGE;6008;;;;;;60120300;70102000;70192200;70192100;70192100;70192200;;;
ENS. MECA. GERMI CD200 PEHD COMPLET;60133;;1234560061556;;;1,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
ENS. MECA. GERMI CD200 PEHD Ø280 - DN100;6008;;;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
ENS. MECA. GERMI CD300 PEHD COMPLET;60133;;1234560051861;;;5,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
ENS. MECA. GERMICD300 PEHD Q 280;6008;;;;;;60260000;70102000;70192200;70192100;70192100;70192200;;;
"VANNE  BS PR MF 3/4"" 316L";6021;4RBRMF20;1234560002245;;;4,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
"VANNE  BS FF 3/4"" 316L";6021;4RBRF20;1234560002238;;;20,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
COFFRET ELECTRIQUE  55-95W;60181;RH51-800-95L;1234560001507;4,000;;545,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
PANNEAU SUPPORTAGE STATION AP36 /60;6097;;1234560031863;;;17,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
"RACCORD UNION LISSE  3/4"" 316L";6021;LM20G;1234560011193;;;39,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
PIED DE SUPPORT ARMOIRE DECHLO;6021;;1234560013142;;;32,00;60260000;70102000;70192200;70192100;70192100;70192200;ATTENTION;;
TIRE GAINE 1 JOINT D32;6097;TIREGAINE;1234560041077;;;19,00;60260000;70102000;70192200;70192100;70192100;70192200;plan delvert;;
ENS. MECA. STATION AP36-AP60+PATTES;60133;;1234560032075;;;27,00;60101100;70102000;70192200;70192100;70192100;70192200;avec les pattes;;
ENS. MECA. GERMI AP36 ECO;6008;BO-AP36-STATION;1234560015924;;;;60401000;70102000;70192200;70192100;70192100;70192200;;;
MAMELON CYL. L100 1/4 G 316 L;6021;MCL8G;1234560036547;;;141,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
"DEMI MANCHON 1"" CAPTEUR ONORM CORPS<DN150";6097;;1234560036509;;50,00;54,00;60101100;70102000;70192200;70192100;70192100;70192200;SPECIAL POUR CORPS AVEC DIAMETRE INFERIEUR OU EGAL AU DN150;;
"COUDE MF 1/2"" 316L";6021;CMF15G;1234560002023;;;54,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
COLLIER CLAMP 50.5;6021;2CCR50;1234560028412;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
JONCTION AD300 GERMI-SERRE;60133;;1234560044771;;;6,00;60101100;70102000;70192200;70192100;70192100;70192200;27/01/20: mise a jour tarif . ancien 59.34€;;
JONCTION AD300 GERMI-SERRE;6008;BO-JONCTION-AD300;1234560035366;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
COLLIER CLIP PP D75 VDL;6021;CLIP75PPVDL;1234560011292;;;728,00;60101100;70102000;70192200;70192100;70192100;70192200;prix net de 1.69€ negocié le 27/11/14 par guerric;;
AP60 CARRE BLEU PORTUGAL;6008;;1234560036974;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
"CORPS INOX POUR CAPTEUR PHOTO-3/8""";6097;;1234560004683;;600,00;447,00;60101100;70102000;70192200;70192100;70192100;70192200;ACHTUNG! nouvelle pièce validée - le plan et le prix vont changer;;
"CORPS PE POUR CAPTEUR PHOTO-3/8""";6097;;1234560035755;;;;60101100;70102000;70192200;70192100;70192100;70192200;ancien prix 10.4€;;
FENETRE TEFLON POUR CAPTEUR PHOTO;6097;00523;1234560037698;;900,00;166,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
"CORPS PE PR CAPTEUR PHOTO-RÉS. 3/8""+ TÉFLON +JOINTS";60133;;1234560036387;;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
ENS. MECA. GERMI AP60;60133;;1234560012893;;;62,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
ENS. MECA. GERMIAP60;6008;BOAP60;;;;;60101100;70102000;70192200;70192100;70192100;70192200;prix par 50 : 130;;
"DEMI-MANCHON INOX316 D3/8""";6021;DM12G;1234560002085;;;109,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
ENS. MECA. GERMI AP60 INVERSE;60133;;1234560041091;;;25,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
ENS. MECA. REACTEUR AP60 IN.;6008;;;;;;60260000;70102000;70192200;70192100;70192100;70192200;;;
DOIGT DE GANT INOX SONDE KTY81-210;6077;1611961001040411000;1234560036851;;;5,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
DOIGT DE GANT INOX AVEC SONDE PT100;6077;1001161001040411000;1234560036868;;;11,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
TE  INOX SM 26.9X1.6  361L;6021;4TSS261;1234560041206;;;6,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
"VANNE SIMPLE UNION 1/2""";6021;VSU1/2;1234560002313;0,374;;31,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
PATTE POUR CPC UVZEN PEHD VERTICAL;6008;BO-PATTE_EAULY_260;;;;;60260000;70102000;70192200;70192100;70192100;70192200;;;
TUBE PE B.BLEUE PR UVLIGHT  10 ''C;6001;;1234560032044;;;5,00;60260000;70102000;70192200;70192100;70192100;70192200;POUR UVLIGHTC 10 '';;
BOUCHON PE DIAM 90 PR AP36/60/95;6021;00502;1234560009886;;400,00;413,00;60260000;70102000;70192200;70192100;70192100;70192200;08/10/19: passage stock alert a 70pcs;;
CLE 6 PANS 5MM MALE;60164;609534;1234560001323;;;237,00;60260000;70102000;70192200;70192100;70192100;70192200;pour AP60;;
COLLIER A VIS NORMAL Q=1;6021;;12345600013300;;;66,00;60260000;70102000;70192200;70192100;70192100;70192200;pour AP60;;
CONNECTEUR SPEAKON NL 4FX;6077;NL4FX;1234560000975;;;185,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
"VANNE SIMPLE UNION 1""";6021;VSU1;1234560002320;;;33,00;60101100;70102000;70192200;70192100;70192100;70192200;;;
CORPS COMPLET DECHLO150 AVEC GAINES;60133;;1234560061297;150,000;;;60101100;70102000;70192200;70192100;70192100;70192200;;;
VOYANT LED VERTE 230VAC;6077;VOY00031;1234560046775;;;943,00;60101100;70102000;70192200;70192100;70192100;70192200;EL/FA-12A1-240VAV;;
COMPTEUR HORAIRE 48X48 UV;6077;3220401075;1234560001071;;1000,00;381,00;60260000;70102000;70192200;70192100;70192100;70192200;ACHAT A L'UNITE : 8.60€;;
PORTE FUSIBLE 6.3X32;6077;P1880;1234560010103;0,029;;234,00;60260000;70102000;70192200;70192100;70192100;70192200;;;
